"datetime,symbol,strategy,signal,score,pattern,trend,is_vol,is_extreme,status,code,response"
2025-06-09 13:45:03.983625,EUR_USD,NY-BREAK-RUN-LITE,SELL,1,DOJI,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 13:45:04.271118,EUR_USD,NY-BREAK-RUN-LITE,BUY,1,DOJI,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 13:50:05.209589,USD_JPY,RANGE-SCALP-MID-LITE,SELL,1,HAMMER,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"637" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"637" "requestID":"115424289856678011" "time":"2025-06-09T17:50:05.136872294Z" "type":"LIMIT_ORDER"
2025-06-09 13:50:05.530225,USD_JPY,RANGE-SCALP-MID-LITE,BUY,1,HAMMER,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"639" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"639" "requestID":"115424289856678242" "time":"2025-06-09T17:50:05.465834261Z" "type":"LIMIT_ORDER"
2025-06-09 14:00:07.535509,EUR_USD,NY-BREAK-RUN-LITE,BUY,1,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 14:00:22.166714,EUR_USD,NY-BREAK-RUN-LITE,SELL,1,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 14:05:03.959137,USD_JPY,RANGE-SCALP-MID-LITE,BUY,2,HAMMER,UPTREND,False,False,SENT,201,{"orderCreateTransaction":{"id":"640" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"640" "requestID":"115424293623836734" "time":"2025-06-09T18:05:03.888760829Z" "type":"LIMIT_ORDER"
2025-06-09 14:05:04.376233,USD_JPY,RANGE-SCALP-MID-LITE,SELL,1,HAMMER,UPTREND,False,False,SENT,201,{"orderCreateTransaction":{"id":"641" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"641" "requestID":"115424293628031386" "time":"2025-06-09T18:05:04.314756077Z" "type":"LIMIT_ORDER"
2025-06-09 14:15:13.012295,EUR_USD,NY-BREAK-RUN-LITE,SELL,1,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 14:15:13.170768,EUR_USD,NY-BREAK-RUN-LITE,BUY,1,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 14:30:06.166404,EUR_USD,BREAKOUT-MOMENTUM-LITE,SELL,1,BULLISH_ENGULFING,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 14:30:06.514216,EUR_USD,NY-BREAK-RUN-LITE,BUY,2,BULLISH_ENGULFING,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"643" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"643" "requestID":"97409901416406803" "time":"2025-06-09T18:30:06.448063298Z" "type":"LIMIT_ORDER" 
2025-06-09 14:30:09.151420,EUR_USD,NY-BREAK-RUN-LITE,SELL,2,BULLISH_ENGULFING,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"644" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"644" "requestID":"61381104412481910" "time":"2025-06-09T18:30:09.083391961Z" "type":"LIMIT_ORDER" 
2025-06-09 14:30:11.470164,EUR_USD,BREAKOUT-MOMENTUM-LITE,BUY,1,BULLISH_ENGULFING,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 14:35:04.372740,USD_JPY,RANGE-SCALP-MID-LITE,BUY,1,NEUTRAL,UPTREND,False,False,SENT,201,{"orderCreateTransaction":{"id":"647" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"647" "requestID":"115424301179101772" "time":"2025-06-09T18:35:04.302775833Z" "type":"LIMIT_ORDER"
2025-06-09 14:35:04.680936,USD_JPY,RANGE-SCALP-MID-LITE,SELL,0,NEUTRAL,UPTREND,False,False,SENT,201,{"orderCreateTransaction":{"id":"648" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"648" "requestID":"97409902666542243" "time":"2025-06-09T18:35:04.613655308Z" "type":"LIMIT_ORDER" 
2025-06-09 15:00:03.127257,EUR_USD,BREAKOUT-MOMENTUM-LITE,BUY,0,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부족(0/2)
2025-06-09 15:00:03.280463,EUR_USD,ST-RSI-SNAP-LITE,BUY,1,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 15:00:03.939457,EUR_USD,NY-BREAK-RUN-LITE,SELL,1,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 15:00:04.512473,EUR_USD,ST-RSI-SNAP-LITE,SELL,1,NEUTRAL,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
