time,open,high,low,close,volume
2025-06-12T19:00:00.000000000Z,1.35964,1.35979,1.35936,1.35966,2122
2025-06-12T19:30:00.000000000Z,1.35966,1.36046,1.35962,1.36028,1937
2025-06-12T20:00:00.000000000Z,1.36028,1.36066,1.3601,1.36053,1085
2025-06-12T20:30:00.000000000Z,1.36056,1.36159,1.36052,1.36128,1826
2025-06-12T21:00:00.000000000Z,1.36102,1.36181,1.36092,1.3616,279
2025-06-12T21:30:00.000000000Z,1.36162,1.36192,1.36147,1.36189,916
2025-06-12T22:00:00.000000000Z,1.36192,1.36216,1.3616,1.36172,1053
2025-06-12T22:30:00.000000000Z,1.36173,1.3618,1.3613,1.36172,973
2025-06-12T23:00:00.000000000Z,1.36172,1.3619,1.36128,1.36186,1485
2025-06-12T23:30:00.000000000Z,1.36188,1.36308,1.36182,1.36286,2410
2025-06-13T00:00:00.000000000Z,1.36288,1.36326,1.35884,1.3597,16638
2025-06-13T00:30:00.000000000Z,1.3597,1.35997,1.3559,1.35702,14404
2025-06-13T01:00:00.000000000Z,1.35702,1.35718,1.35534,1.35633,8985
2025-06-13T01:30:00.000000000Z,1.35632,1.35707,1.3551,1.35652,7668
2025-06-13T02:00:00.000000000Z,1.35652,1.35692,1.35578,1.35607,5594
2025-06-13T02:30:00.000000000Z,1.35606,1.3567,1.35521,1.35572,6697
2025-06-13T03:00:00.000000000Z,1.35575,1.35588,1.35452,1.35482,6195
2025-06-13T03:30:00.000000000Z,1.35482,1.35546,1.35406,1.35528,4187
2025-06-13T04:00:00.000000000Z,1.35528,1.35537,1.35301,1.3533,3990
2025-06-13T04:30:00.000000000Z,1.35331,1.35414,1.35304,1.35344,4040
2025-06-13T05:00:00.000000000Z,1.35343,1.35461,1.35297,1.353,5306
2025-06-13T05:30:00.000000000Z,1.353,1.35432,1.3528,1.35394,4153
2025-06-13T06:00:00.000000000Z,1.35393,1.35538,1.35319,1.35324,8036
2025-06-13T06:30:00.000000000Z,1.35324,1.3541,1.35216,1.35379,8305
2025-06-13T07:00:00.000000000Z,1.3538,1.35588,1.35364,1.35585,10083
2025-06-13T07:30:00.000000000Z,1.35586,1.35706,1.35584,1.35596,6341
2025-06-13T08:00:00.000000000Z,1.35594,1.35697,1.35527,1.3567,5690
2025-06-13T08:30:00.000000000Z,1.35669,1.35681,1.35514,1.35593,5428
2025-06-13T09:00:00.000000000Z,1.35594,1.3563,1.35467,1.3548,7178
2025-06-13T09:30:00.000000000Z,1.35479,1.35512,1.35416,1.35443,6321
2025-06-13T10:00:00.000000000Z,1.35442,1.35532,1.35408,1.35448,6704
2025-06-13T10:30:00.000000000Z,1.3545,1.35458,1.35231,1.35346,7491
2025-06-13T11:00:00.000000000Z,1.35345,1.3536,1.35232,1.35298,6600
2025-06-13T11:30:00.000000000Z,1.35298,1.35481,1.35291,1.35392,5863
2025-06-13T12:00:00.000000000Z,1.35392,1.35424,1.35241,1.35303,5341
2025-06-13T12:30:00.000000000Z,1.35304,1.35418,1.35264,1.35343,5416
2025-06-13T13:00:00.000000000Z,1.35344,1.35366,1.35165,1.35263,5186
2025-06-13T13:30:00.000000000Z,1.35264,1.3543,1.35219,1.35404,7402
2025-06-13T14:00:00.000000000Z,1.35408,1.35593,1.35389,1.35568,7388
2025-06-13T14:30:00.000000000Z,1.35567,1.3576,1.35515,1.35752,6185
2025-06-13T15:00:00.000000000Z,1.35752,1.3596,1.35731,1.35938,6992
2025-06-13T15:30:00.000000000Z,1.3594,1.36032,1.35903,1.3592,6665
2025-06-13T16:00:00.000000000Z,1.35922,1.36016,1.3591,1.35976,4460
2025-06-13T16:30:00.000000000Z,1.35978,1.36013,1.35906,1.35946,3665
2025-06-13T17:00:00.000000000Z,1.35947,1.35947,1.3581,1.3583,4254
2025-06-13T17:30:00.000000000Z,1.35826,1.35853,1.35734,1.35835,4061
2025-06-13T18:00:00.000000000Z,1.35836,1.35864,1.35705,1.35708,4730
2025-06-13T18:30:00.000000000Z,1.35707,1.3574,1.35597,1.35626,4677
2025-06-13T19:00:00.000000000Z,1.35626,1.3567,1.35586,1.35593,3166
2025-06-13T19:30:00.000000000Z,1.35592,1.35716,1.3559,1.35706,2669
2025-06-13T20:00:00.000000000Z,1.35707,1.35709,1.35606,1.3563,2016
2025-06-13T20:30:00.000000000Z,1.35632,1.35752,1.35596,1.35748,2779
